               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.045562,            0.011778,             0.01109,             0.70088,             0.68568,             0.68192,             0.25958,            0.033101,            0.009373,            0.010447,            0.007987,            0.007987,            0.007987
                  63,            0.040294,            0.011887,            0.011449,             0.69377,             0.70452,             0.67233,             0.26507,            0.032729,           0.0093512,           0.0092499,            0.007954,            0.007954,            0.007954
                  64,            0.040085,             0.01154,            0.010756,             0.69767,             0.65875,             0.65077,             0.24707,            0.033251,           0.0094231,           0.0088818,            0.007921,            0.007921,            0.007921
                  65,            0.041679,            0.011327,            0.011064,             0.73902,             0.61053,             0.64818,             0.26051,            0.032279,           0.0093283,           0.0085547,            0.007888,            0.007888,            0.007888
                  66,            0.040788,            0.011523,            0.010995,             0.69115,             0.63496,             0.65225,             0.26575,            0.034276,            0.009685,            0.010003,            0.007855,            0.007855,            0.007855
                  67,             0.04175,            0.011956,             0.01148,             0.69075,             0.68166,             0.67169,             0.27727,            0.032975,           0.0094092,           0.0091942,            0.007822,            0.007822,            0.007822
                  68,            0.041869,            0.011539,            0.012364,              0.7141,             0.67586,             0.66587,             0.26558,            0.033386,           0.0090676,            0.010149,            0.007789,            0.007789,            0.007789
                  69,            0.040806,              0.0117,            0.012676,             0.67139,             0.65288,              0.6583,             0.26738,            0.033301,           0.0099748,           0.0093165,            0.007756,            0.007756,            0.007756
                  70,            0.039013,            0.011981,            0.010565,             0.64212,             0.68833,             0.65738,             0.24656,            0.032497,           0.0094889,           0.0095858,            0.007723,            0.007723,            0.007723
                  71,            0.042656,            0.011945,            0.011465,             0.78951,             0.62198,             0.67532,             0.26852,            0.030432,            0.010013,           0.0094846,             0.00769,             0.00769,             0.00769
                  72,            0.044082,            0.011825,            0.011444,             0.70274,             0.68817,             0.68793,             0.26807,            0.030541,           0.0098962,           0.0085438,            0.007657,            0.007657,            0.007657
                  73,            0.040206,            0.011337,             0.01116,             0.73563,             0.69962,              0.7002,             0.27028,            0.034091,           0.0095692,           0.0083041,            0.007624,            0.007624,            0.007624
                  74,            0.039835,            0.011044,            0.010338,             0.73365,             0.68133,             0.70794,             0.28778,            0.033364,           0.0094756,           0.0093773,            0.007591,            0.007591,            0.007591
                  75,              0.0414,            0.011679,            0.010546,             0.74758,             0.67779,              0.7158,             0.28476,            0.031643,           0.0093729,           0.0087147,            0.007558,            0.007558,            0.007558
                  76,            0.039559,            0.011303,            0.010464,             0.74807,             0.72574,             0.72988,             0.30474,            0.031519,           0.0092417,           0.0077943,            0.007525,            0.007525,            0.007525
                  77,            0.039563,            0.010942,           0.0094243,             0.77434,             0.70991,             0.72555,              0.2843,            0.033867,           0.0092322,           0.0081466,            0.007492,            0.007492,            0.007492
                  78,             0.04014,             0.01134,           0.0091865,             0.83048,             0.70683,             0.76622,             0.30316,            0.033578,           0.0091398,           0.0079944,            0.007459,            0.007459,            0.007459
                  79,            0.041298,            0.010828,           0.0098864,             0.82004,              0.7141,             0.76313,             0.30364,            0.032028,           0.0091695,           0.0071242,            0.007426,            0.007426,            0.007426
                  80,            0.039188,            0.011658,           0.0086984,             0.82844,             0.71589,             0.77322,             0.31936,            0.030533,           0.0090186,            0.007381,            0.007393,            0.007393,            0.007393
                  81,            0.042485,            0.011369,           0.0098973,             0.82692,             0.70666,             0.76827,             0.31665,            0.032463,           0.0090909,           0.0071163,             0.00736,             0.00736,             0.00736
                  82,            0.041452,            0.011443,           0.0083176,             0.76361,             0.70568,             0.72706,             0.27724,             0.03162,           0.0089361,           0.0067886,            0.007327,            0.007327,            0.007327
                  83,            0.037862,            0.010852,           0.0088137,             0.81522,             0.74588,             0.77925,             0.31675,            0.029878,           0.0088004,            0.006537,            0.007294,            0.007294,            0.007294
                  84,            0.037647,            0.011174,           0.0079263,             0.77357,             0.69996,             0.74458,             0.30168,            0.032314,           0.0090931,           0.0079465,            0.007261,            0.007261,            0.007261
                  85,            0.036885,            0.011193,           0.0085868,             0.85559,             0.66496,             0.73738,             0.31066,            0.030141,            0.009259,           0.0074371,            0.007228,            0.007228,            0.007228
                  86,            0.040315,            0.010883,            0.010014,             0.85976,             0.68983,             0.74738,             0.29829,            0.031711,           0.0091069,           0.0076003,            0.007195,            0.007195,            0.007195
                  87,            0.037933,            0.011059,           0.0088021,             0.82533,             0.74443,             0.78052,             0.33376,            0.030594,           0.0090404,           0.0073693,            0.007162,            0.007162,            0.007162
                  88,            0.037764,            0.010959,           0.0081028,             0.87725,             0.71686,             0.78191,             0.32345,            0.032309,           0.0088157,           0.0074541,            0.007129,            0.007129,            0.007129
                  89,            0.039091,            0.010982,           0.0084337,             0.79117,             0.69681,             0.71269,             0.27102,            0.032328,           0.0090234,             0.00714,            0.007096,            0.007096,            0.007096
                  90,            0.041558,            0.011157,           0.0092584,             0.84028,             0.72732,             0.75431,             0.30782,            0.031292,           0.0090192,           0.0076714,            0.007063,            0.007063,            0.007063
                  91,            0.040082,            0.010572,           0.0077762,             0.84994,             0.73633,             0.79611,             0.32728,            0.029218,            0.009115,           0.0061054,             0.00703,             0.00703,             0.00703
                  92,            0.039051,            0.010709,           0.0085214,             0.83347,             0.73556,             0.77178,             0.29329,            0.031058,           0.0087643,           0.0061244,            0.006997,            0.006997,            0.006997
                  93,              0.0369,            0.010799,           0.0079384,              0.8206,             0.75631,             0.78662,             0.33394,            0.029055,           0.0085621,           0.0061354,            0.006964,            0.006964,            0.006964
                  94,            0.038502,            0.011123,           0.0084253,             0.85056,              0.7512,              0.7854,             0.31233,             0.03085,           0.0087028,           0.0059072,            0.006931,            0.006931,            0.006931
                  95,            0.037927,            0.010593,           0.0078788,             0.86836,             0.77376,              0.8204,             0.34778,            0.028907,           0.0087562,           0.0056303,            0.006898,            0.006898,            0.006898
                  96,            0.034586,            0.011218,            0.007296,             0.88575,             0.76544,             0.82505,             0.35121,            0.029298,           0.0087088,           0.0062455,            0.006865,            0.006865,            0.006865
                  97,            0.037688,            0.011005,           0.0074527,              0.8438,             0.75291,             0.79309,             0.32946,            0.029156,           0.0085501,           0.0060974,            0.006832,            0.006832,            0.006832
                  98,            0.035769,            0.010476,           0.0076662,             0.87014,             0.75778,             0.79993,             0.33767,             0.03039,           0.0085207,           0.0058606,            0.006799,            0.006799,            0.006799
                  99,            0.037902,             0.01045,            0.008493,             0.86543,             0.78639,             0.82289,             0.36367,            0.028994,           0.0084304,           0.0058459,            0.006766,            0.006766,            0.006766
                 100,            0.036253,            0.010672,           0.0075569,             0.89716,             0.76275,             0.81184,             0.33724,            0.030958,           0.0086409,            0.005408,            0.006733,            0.006733,            0.006733
                 101,            0.037596,            0.010546,           0.0077683,             0.87222,             0.77042,             0.80164,              0.3356,            0.031925,           0.0087007,           0.0053308,              0.0067,              0.0067,              0.0067
                 102,            0.039394,            0.010295,           0.0074475,             0.85269,             0.75277,             0.78956,             0.32762,            0.031511,           0.0086634,           0.0054283,            0.006667,            0.006667,            0.006667
                 103,            0.037701,            0.010449,           0.0085233,             0.89165,             0.73209,             0.80059,             0.34992,             0.03008,           0.0085857,           0.0051086,            0.006634,            0.006634,            0.006634
